번호,장소명,
1,강남 MICE 관광특구,10267813
2,동대문 관광특구,8768935
3,명동 관광특구,10267477
4,이태원 관광특구,527197
5,잠실 관광특구,10291822
6,종로·청계 관광특구,10292168
7,홍대 관광특구,10857202
8,경복궁·서촌마을,5764109
9,광화문·덕수궁,219147
10,창덕궁·종묘,5394848
11,가산디지털단지역,185774
12,강남역,280181
13,건대입구역,280369
14,고속터미널역,280235
15,교대역,280182
16,구로디지털단지역,280191
17,서울역,219821
18,선릉역,280179
19,신도림역,280115
20,신림역,280189
21,신촌·이대역,286549
22,역삼역,280180
23,연신내역,624352
24,용산역,1097953
25,왕십리역,280161
26,DMC(디지털미디어시티),1392735
27,창동 신경제 중심지,183893
28,노량진,1000564080
29,낙산공원·이화마을,2980109
30,북촌한옥마을,737872
31,가로수길,1195057
32,성수카페거리,8705394
33,수유리 먹자골목,7936772
34,쌍문동 맛집거리,6553336
35,압구정로데오거리,187715
36,여의도,1000564070
37,영등포 타임스퀘어,1172091
38,인사동·익선동,1000564192
39,국립중앙박물관·용산가족공원,218130
40,남산공원,6936059
41,뚝섬한강공원,182594
42,망원한강공원,212403
43,반포한강공원,394217
44,북서울꿈의숲,1583841
45,서울대공원,381867
46,서울숲공원,1142340
47,월드컵공원,5023235
48,이촌한강공원,395143
49,잠실종합운동장,188584
50,잠실한강공원,187962
